Name,Address,Email,Phone
Grundschule   ,Realschulweg 6 88453 Erolzheim,poststelle@04118138.schule.bwl.de,07354/932822
Realschule   ,Realschulweg 5 88453 Erolzheim,poststelle@04120170.schule.bwl.de,07354/93280
Michel-Buck- Gemeinschaftsschule  ,Dürmentinger Str. 61 88521 Ertingen,poststelle@04118151.schule.bwl.de,07371/95280
Grundschule Eschach   ,Schulweg 11/1 73569 Eschach,poststelle@04124680.schule.bwl.de,07175/391
Rappoltsteiner Grundschule   ,Gartenstr. 6 79427 Eschbach,poststelle@04145919.schule.bwl.de,07634/551860
Grundschule Eschbronn   ,Lange Gasse 15 78664 Eschbronn,poststelle@04157697.schule.bwl.de,07403/7744
Schlosswiesenschule Grundschule  ,Siedlerstr. 19 74927 Eschelbronn,poststelle@04141446.schule.bwl.de,06226/42456
Grundschule Eschenbach   ,Bahnhofstr. 12 73107 Eschenbach,poststelle@04114108.schule.bwl.de,07161/43842
Parkschule Gemeinschaftsschule  ,Amselweg 18 73457 Essingen,poststelle@04124692.schule.bwl.de,07365/388
Abendgymnasium Esslingen  ,Lohwasen 1 73728 Esslingen am Neckar,,
Berufsbildungswerk Waiblingen   ,Urbanstr. 28 73728 Esslingen am Neckar,,
Diakonisches Institut für Soziale Berufe Berufsfachschu. für Altenpflege u. Altenpflegehilfe Esslingen,Kennenburger Str. 73 73732 Esslingen am Neckar,,0711/3905-186
Eichendorffschule Grundschule Zollberg ,Eichendorffstr. 62 73734 Esslingen am Neckar,poststelle@04122580.schule.bwl.de,0711/3512-2522
Freie Evangelische Schule Esslingen  ,Obertürkheimer Str. 62 73733 Esslingen am Neckar,poststelle@04316921.schule.bwl.de,0711/16036360
Freie Waldorfschule Esslingen a. N.  ,Weilstr. 90 73734 Esslingen am Neckar,,0711 /9388230
Friedrich-Ebert-Schule Esslingen a. N. Gewerbliche Schule ,Steinbeisstr. 17 73730 Esslingen am Neckar,poststelle@04101217.schule.bwl.de,0711/3607100
Georgii-Gymnasium   ,Lohwasen 1 73728 Esslingen am Neckar,poststelle@04103743.schule.bwl.de,0711 /3512-2324
Grundschule Hegensberg-Liebersbronn  ,Im Gehren 3 73732 Esslingen am Neckar,poststelle@04122555.schule.bwl.de,0711 /378680
Grundschule Mettingen   ,Lerchenbergstr. 10 73733 Esslingen am Neckar,poststelle@04122567.schule.bwl.de,0711 /324241
Grundschule St. Bernhardt   ,Bernhard-Denzel-Weg 9 73732 Esslingen am Neckar,poststelle@04122506.schule.bwl.de,0711 /3702477
Grundschule Sulzgries   ,Sulzgrieser Str. 105-109 73733 Esslingen am Neckar,poststelle@04122579.schule.bwl.de,0711 /371358
Grundschule Zell   ,Mettenhaldenstr. 2 73730 Esslingen am Neckar,poststelle@04122592.schule.bwl.de,0711 /368050
Herderschule Grundschule  ,Hindenburgstr. 177 73730 Esslingen am Neckar,poststelle@04122452.schule.bwl.de,0711/3512-2316
Institut für Berufliche Bildung und Entwicklung  ,Sulzgrieser Str. 118 73733 Esslingen am Neckar,,
Internationaler Bund Private Berufsfachschule Bildungszentrum Esslingen ,Kollwitzstr. 1 73728 Esslingen am Neckar,poststelle@04312526.schule.bwl.de,
John-F.-Kennedy-Schule Esslingen a. N. Kaufmännische Schule ,Steinbeisstr. 25 73730 Esslingen am Neckar,poststelle@04100079.schule.bwl.de,0711/93023-0
Katharinenschule Esslingen Grundschule  ,Blumenstr. 31 73728 Esslingen am Neckar,poststelle@04122439.schule.bwl.de,0711/3512-2319
Käthe-Kollwitz-Schule Esslingen a. N. Gewerbliche und Hauswirtschaftliche Schule,Steinbeisstr. 17 73730 Esslingen am Neckar,poststelle@04102611.schule.bwl.de,0711/3607-400
"Lazi Akademie Film,Foto,Grafik,Medien,Design Private Berufsfachschule ",Schlößlesweg 48-50 73732 Esslingen am Neckar,,0711 /937838-0
Lerchenäckerschule Grund- und Werkrealschule  ,Potsdamer Str. 71-75 73730 Esslingen am Neckar,poststelle@04122464.schule.bwl.de,0711 /3166338
Medizinisch Technische Akademie Esslingen  ,Kesselwasen 17 73728 Esslingen am Neckar,,
Mörike-Gymnasium   ,Neckarstr. 38 73728 Esslingen am Neckar,poststelle@04103755.schule.bwl.de,0711/3512-2328
Neue Schule Esslingen Realschule  ,Eberhard-Bauer-Str. 25 73734 Esslingen am Neckar,poststelle@04167071.schule.bwl.de,
Pliensauschule Grundschule  ,Breitenstr. 19 73734 Esslingen am Neckar,poststelle@04122476.schule.bwl.de,0711 /3512-2318
Privates Gymnasium Esslingen  ,Rotenackerstr. 71 73732 Esslingen am Neckar,poststelle@04316386.schule.bwl.de,0711/75 87 59 33
Realschule Oberesslingen   ,Banatstr. 20 73730 Esslingen am Neckar,poststelle@04112689.schule.bwl.de,0711/3512-2478
Rohräckerschule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Traifelbergstr. 2 73734 Esslingen am Neckar,poststelle@04106859.schule.bwl.de,0711 /919935-0
Rohräckerschule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Sprache,Traifelbergstr. 2 73734 Esslingen am Neckar,poststelle@04110966.schule.bwl.de,0711 /919935-0
Rohräckerschule Sonderpädagogisches Bildungs- und Beratungszentrum Geistige Entwicklung,Traifelbergstr. 2 73734 Esslingen am Neckar,poststelle@04109976.schule.bwl.de,0711 /919935-0
Rohräckerschule Sonderpädagogisches Bildungs- und Beratungszentrum Körperl. u. motor. Entwicklung,Traifelbergstr. 2 73734 Esslingen am Neckar,poststelle@04111168.schule.bwl.de,0711 /919935-0
Rohräckerschule Sonderpädagogisches Bildungs- und Beratungszentrum Schüler in Krankenhausbehandl.,Traifelbergstr. 2 73734 Esslingen am Neckar,poststelle@04111387.schule.bwl.de,0711 /919935-0
Schelztor-Gymnasium   ,Barbarossastr. 85 73732 Esslingen am Neckar,poststelle@04103767.schule.bwl.de,0711/3512-3350
Schillerschule Grundschule Berkheim  ,Schulstr. 56 73734 Esslingen am Neckar,poststelle@04122415.schule.bwl.de,0711 /3451847
Schule Innenstadt Esslingen a.N. Gemeinschaftsschule ,Blumenstr. 10 73728 Esslingen am Neckar,poststelle@04166236.schule.bwl.de,0711/3512-3446
Schulkindergarten für Geistigbehinderte Esslingen a. N. ,Traifelbergstr. 6 73734 Esslingen am Neckar,poststelle@04159840.schule.bwl.de,0711 /919935-0
Schulkindergarten für Körperbehinderte Esslingen a. N. ,Traifelbergstr. 2 73734 Esslingen am Neckar,poststelle@04159487.schule.bwl.de,0711 /919935-0
Schulkindergarten für Sprachbehinderte Esslingen a. N. ,Traifelbergstr. 2 73734 Esslingen am Neckar,poststelle@04160064.schule.bwl.de,0711 /919935-0
Seewiesenschule Gemeinschaftsschule  ,Seracher Str. 50 73732 Esslingen am Neckar,poststelle@04122440.schule.bwl.de,0711/3703541
Silcherschule Grundschule  ,Urbanstr. 110 73728 Esslingen am Neckar,poststelle@04122531.schule.bwl.de,0711 /3512-3006
Theodor-Heuss-Gymnasium   ,Breslauer Str. 19 73730 Esslingen am Neckar,poststelle@04103779.schule.bwl.de,0711/3512-2456
Volkshochschule Esslingen  ,Mettinger Str. 125 73728 Esslingen am Neckar,,
Waisenhofschule Grundschule  ,Marktplatz 9-11 73728 Esslingen am Neckar,poststelle@04122543.schule.bwl.de,0711/3512-2320
Zollberg-Realschule   ,Boßlerstr. 9-13 73734 Esslingen am Neckar,poststelle@04112690.schule.bwl.de,0711/3512-2370
"August-Ruf-Bildungszentrum Grund-, Werkreal- und Realschule ",Bienlestr. 19 77955 Ettenheim,poststelle@04155779.schule.bwl.de,07822/44618-0
Freie aktive Natur- und Montessorischule Ettenheim Priv. Grund- u. Werkrealschule ,Stabhaltergässle 12 77955 Ettenheim,,
Grundschule Altdorf   ,Josef-Greber-Str. 6 77955 Ettenheim,poststelle@04155767.schule.bwl.de,07822/5689
Grundschule Münchweier   ,Schulstr. 5 77955 Ettenheim,poststelle@04155809.schule.bwl.de,07822 78959-21
Gymnasium Ettenheim   ,J.-B.-von-Weiss-Str. 7 77955 Ettenheim,poststelle@04105880.schule.bwl.de,07822/3008-0
Heimschule St. Landolin Gymnasium  ,Prälat-Schofer-Str. 1 77955 Ettenheim,poststelle@04300822.schule.bwl.de,07822/8928-100
Heimschule St. Landolin Realschule  ,Prälat-Schofer-Str. 1 77955 Ettenheim,poststelle@04317962.schule.bwl.de,07822/8928-200
Albert-Einstein-Schule   ,Beethovenstr. 1 76275 Ettlingen,poststelle@04101667.schule.bwl.de,0721/93660930
Albertus-Magnus-Gymnasium im Schulzentrum  ,Middelkerker Str. 1-5 76275 Ettlingen,poststelle@04105284.schule.bwl.de,07243/101354
Anne-Frank Realschule   ,Middelkerker Str. 1-5 76275 Ettlingen,poststelle@04160301.schule.bwl.de,07243/101-355
Bertha-von-Suttner-Schule   ,Beethovenstr. 1 76275 Ettlingen,poststelle@04102829.schule.bwl.de,0721 936-61200
Carl-Orff-Schule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Lindenweg 6 76275 Ettlingen,poststelle@04108054.schule.bwl.de,07243/101338
Eichendorff-Gymnasium   ,Goethestr. 2-10 76275 Ettlingen,poststelle@04105296.schule.bwl.de,07243/101347
Erich-Kästner-Schule GS   ,Georg-Blasel-Str. 9 76275 Ettlingen,poststelle@04136888.schule.bwl.de,07243/93411
Gartenschule Sonderpädagogisches Bildungs- und Beratungszentrum Geistige Entwicklung,Odertalweg 3 76275 Ettlingen,poststelle@04110401.schule.bwl.de,0721 936-62200 oder 0721 936-62230
Geschwister-Scholl-Grundschule   ,Schulstr. 6 76275 Ettlingen,poststelle@04136931.schule.bwl.de,07243/9238
Grundschule Oberweier   ,Bergstr. 18 76275 Ettlingen,poststelle@04136918.schule.bwl.de,07243/99532
Hans-Thoma-Schule GS Spessart   ,Grübstr. 26 76275 Ettlingen,poststelle@04136876.schule.bwl.de,07243/28811
Heisenberg-Gymnasium   ,Am Lindscharren 8-10 76275 Ettlingen,poststelle@04312769.schule.bwl.de,07243 34470-0
Johann-Peter-Hebel-Schule Grundschule Schöllbronn ,Burbacher Str. 7 76275 Ettlingen,poststelle@04136906.schule.bwl.de,07243/29320
Pestalozzi-Schule Grund- u. Werkrealschule  ,Lindenweg 6-8 76275 Ettlingen,poststelle@04136840.schule.bwl.de,07243/101339
Schillerschule Grund- und Werkrealschule  ,Scheffelstr. 1 76275 Ettlingen,poststelle@04136852.schule.bwl.de,07243/101334
Schulkindergarten für geistig Behinderte  ,Odertalweg 3 76275 Ettlingen,poststelle@04159694.schule.bwl.de,07243/13275
St. Augustinus-Schule Privates sonderpädagogisches Bildungs- und Beratungszentrum emotion.u.soziale Entwicklung,Schöllbronner Str. 78 76275 Ettlingen,poststelle@04302004.schule.bwl.de,07243/774070
Thiebauth-Schule GS   ,Pforzheimer Str. 20 76275 Ettlingen,poststelle@04136864.schule.bwl.de,07243/101330
Wilhelm-Lorenz-Realschule   ,Karl-Friedrich-Str. 24 76275 Ettlingen,poststelle@04118412.schule.bwl.de,07243/101343
Wilhelm-Röpke-Schule   ,Beethovenstr. 1 76275 Ettlingen,poststelle@04100377.schule.bwl.de,0721/93661430
Grundschule Eutingen  ,Schulstr. 1 72184 Eutingen im Gäu,poststelle@04132172.schule.bwl.de,07459/1448
Grundschule Fahrenbach   ,Bahnhofstr. 30 74864 Fahrenbach,poststelle@04139208.schule.bwl.de,06267/1040
Grundschule Feldberg   ,Schulstr. 2 79868 Feldberg (Schwarzwald),poststelle@04145920.schule.bwl.de,07655/1667
Privates Sonderpädagogisches Bildungs- u. Beratungszentrum im Caritashaus Schüler i. längerer Krankenh.,Paßhöhe 5 79868 Feldberg (Schwarzwald),,
Albert-Schweitzer-Schule Gemeinschaftsschule Schmiden ,Talstr. 4 70736 Fellbach,poststelle@04126421.schule.bwl.de,0711/5851654
Anne-Frank-Schule Grundschule Schmiden ,Käthe-Kollwitz-Str. 17 70736 Fellbach,poststelle@04161238.schule.bwl.de,0711/5851659
Auberlen-Realschule   ,Hermann-Löns-Weg 11 70736 Fellbach,poststelle@04113177.schule.bwl.de,0711 /5851-335
Ballettfachschule Ronecker  ,Cannstatter Str. 103 70734 Fellbach,,0711/573330
Camphill gGmbH Berufsfachschule für Altenpflege ,Siemensstr. 5 70736 Fellbach,,
DEB   ,Bahnhofstr. 76 70736 Fellbach,,
Förderkreis Waldorfpädagogik Fellbach H. von Kügelgen-Schule gGmbH ,Thomas-Mann-Str. 44 70734 Fellbach,,0711/581395
Friedrich-Schiller-Gymnasium   ,Pestalozzistr. 50 70736 Fellbach,poststelle@04103780.schule.bwl.de,0711/5851-293
"Fröbelschule Sonderpädagogisches Bildungs- und Beratungszentrum geistige, körperl. u. motor. Entwicklung",Karolingerstr. 42 70736 Fellbach,poststelle@04110000.schule.bwl.de,0711 /951936-0
Gustav-Stresemann-Gymnasium   ,Hofäckerstr. 8 70736 Fellbach,poststelle@04103792.schule.bwl.de,0711/5851-632
Hermann-Hesse-Realschule Schmiden  ,Talstr. 6/1 70736 Fellbach,poststelle@04113189.schule.bwl.de,0711/5851652
Kolping Bildung Nordwürttemberg gGmbH  ,Baumschulenweg 2/1 70736 Fellbach,poststelle@04310396.schule.bwl.de,0711 /579810
Kolping Bildung Nord-Württemberg gGmbH  ,Baumschulenweg 2 70736 Fellbach,poststelle@04317500.schule.bwl.de,0711 5109959 26
Konzept-e für Schulen gGmbH   ,Kienbachstrasse 70734 Fellbach,,
Maickler-Grundschule   ,Maicklerstr. 30 70736 Fellbach,poststelle@04126366.schule.bwl.de,0711 /5851-338
Privates Berufskolleg für chemisch-techn. und pharma.-technische Assistenten ,Auberlenstr. 13 70736 Fellbach,poststelle@04303112.schule.bwl.de,0711 /610610
Schillerschule Grundschule Oeffingen ,Rilkestr. 3 70736 Fellbach,poststelle@04126408.schule.bwl.de,0711 /5851-526
Schulkindergarten für Geistigbehinderte Fellbach ,Karolingerstr. 42 70736 Fellbach,poststelle@04159852.schule.bwl.de,0711 /95193616
Silcherschule Grundschule  ,Tainer Str. 34 70734 Fellbach,poststelle@04126378.schule.bwl.de,0711/5851-284
SIS International School Fellbach  ,Schmidener Weg 7 70736 Fellbach,poststelle@04316763.schule.bwl.de,0711 46919410
Wichernschule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Schillerstr. 8 70734 Fellbach,poststelle@04106860.schule.bwl.de,0711/5851-280
Zeppelinschule Gemeinschaftsschule  ,Thomas-Mann-Str. 51 70734 Fellbach,poststelle@04126391.schule.bwl.de,0711/5851-329
Christoph-von-Pfeil-Schule Grundschule  ,Christoph-von-Pfeil-Weg 5 74579 Fichtenau,poststelle@04127413.schule.bwl.de,07962/9025-0
"Oberlinschule Sonderpädagogisches Bildungs- und Beratungszentrum Lernen, emotionale und soziale Entw.",Christoph-von-Pfeil-Weg 3 74579 Fichtenau,poststelle@04106872.schule.bwl.de,07962/9025-32
Grund- und Werkrealschule Fichtenberg  ,Schulstr. 9 74427 Fichtenberg,poststelle@04127425.schule.bwl.de,07971/7778
Bruckenackerschule Grundschule Bernhausen ,Fröbelstr. 9 70794 Filderstadt,poststelle@04123195.schule.bwl.de,0711/7070990
Dietrich-Bonhoeffer-Gymnasium   ,Seestr. 40 70794 Filderstadt,poststelle@04166091.schule.bwl.de,07158/985020
Elisabeth-Selbert-Gymnasium Bernhausen Filderstadt ,Tübinger Str. 71 70794 Filderstadt,poststelle@04103809.schule.bwl.de,0711/7086110
Freie Waldorfschule auf den Fildern  ,Gutenhalde 70794 Filderstadt,,0711/77058560
Gotthard-Müller-Schule Gemeinschaftsschule Bernhausen ,La Souterrainer Str. 9 70794 Filderstadt,poststelle@04123201.schule.bwl.de,0711/707092-0
Grundschule Bonlanden   ,Mahlestr. 14 70794 Filderstadt,poststelle@04123213.schule.bwl.de,0711/77867-11
Grundschule Plattenhardt   ,Weilerhau 2 70794 Filderstadt,poststelle@04123237.schule.bwl.de,0711 /7070790
Jahnschule Grund- und Werkrealschule Harthausen ,Jahnstr. 25-27 70794 Filderstadt,poststelle@04123225.schule.bwl.de,07158/93400
Katholische Berufsfachschule für Altenpflege und Altenpflegehilfe Filderstadt-Plattenhardt,Mörikestr. 58 70794 Filderstadt,,0711 /774222
Pestalozzischule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Seestr. 22 70794 Filderstadt,poststelle@04106641.schule.bwl.de,07158/98118-0
Realschule Bernhausen Fleinsbachschule  ,Poltawastr. 3 70794 Filderstadt,poststelle@04112707.schule.bwl.de,0711/7070993
Realschule Bildungszentrum Seefälle Bonlanden ,Mahlestr. 20 70794 Filderstadt,poststelle@04112719.schule.bwl.de,0711/77867-30
Werkrealschule Bildungszentrum Seefälle Bonlanden ,Mahlestr. 18 70794 Filderstadt,poststelle@04123249.schule.bwl.de,0711 /7786720
Wielandschule Sielmingen Grundschule  ,Wielandstr. 4 70794 Filderstadt,poststelle@04123250.schule.bwl.de,07158/9041-0
Fritz Ullmann-Grundschule Fischerbach  ,Hauptstr. 38 77716 Fischerbach,poststelle@04155822.schule.bwl.de,07832/919015
Johannesschulen Privates sonderpädagogisches Bildungs- und Beratungszentrum FSP geistige Entwicklung,Seeäckerstr. 3 74223 Flein,,07131/568289
St. Veit-Schule Flein (Grund- und Werkrealschule)  ,Schulstr. 35 74223 Flein,poststelle@04123778.schule.bwl.de,07131/59210
Grundschule   ,Kapellenstr. 22 88373 Fleischwangen,poststelle@04164380.schule.bwl.de,07505/1220
Heimbachschule Grundschule  ,Schulweg 10 78737 Fluorn-Winzeln,poststelle@04157673.schule.bwl.de,07402 9101-58
Klingenbach-Grundschule Forbach  ,Hauptstr. 72 76596 Forbach,poststelle@04143194.schule.bwl.de,07228/2197
Geschwister-Scholl-Schule Grundschule  ,Im Spitzen 4 74670 Forchtenberg,poststelle@04115186.schule.bwl.de,07947/7741
Grundschule Ernsbach   ,Carl-Arnold-Str. 34 74670 Forchtenberg,poststelle@04115198.schule.bwl.de,07947/425
Astrid-Lindgren-Schule Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Sprache,Josefstr. 3 76694 Forst,poststelle@04111089.schule.bwl.de,0721-93660110
Lußhardt-Gemeinschaftsschule Forst-Hambrücken  ,Sudetenstr. 1 76694 Forst,poststelle@04136943.schule.bwl.de,07251/97840
Schulkindergarten für Sprachbehinderte  ,Josefstr. 3 76694 Forst,poststelle@04164677.schule.bwl.de,07251/917214
Grundschule Frankenhardt   ,Schulweg 6 74586 Frankenhardt,poststelle@04127437.schule.bwl.de,07959/530
Wilhelm-Sandberger-Schule (Gemeinschaftsschule) Frankenhardt ,Schulstr. 5 74586 Frankenhardt,poststelle@04127449.schule.bwl.de,07959/824
Schulzentrum Freiamt Grund- und Werkrealschule  ,Graben 21 79348 Freiamt,poststelle@04150630.schule.bwl.de,07645/608
Flattichschule Grundschule Beihingen ,Mühlstr. 40 71691 Freiberg am Neckar,poststelle@04117031.schule.bwl.de,07141/72489
Grünlandschule Grundschule Geisingen ,Grünlandstr. 9 71691 Freiberg am Neckar,poststelle@04117043.schule.bwl.de,07141/71032
Kasteneckschule Grundschule Heutingsheim ,Katharinenstr. 2 71691 Freiberg am Neckar,poststelle@04117055.schule.bwl.de,07141/71031
"Oscar-Paret-Schule Gemeinschaftsschule, Realschule und Gymnasium ",Marktplatz 3 71691 Freiberg am Neckar,poststelle@04158331.schule.bwl.de,07141/278-200
Abendrealschule der Volkshochschule Freiburg  ,Rotteckring 12 79098 Freiburg im Breisgau,poststelle@04311054.schule.bwl.de,0761 /36895-13
Abendrealschule Freiburg   ,Landsknechtstr. 4 79102 Freiburg im Breisgau,poststelle@04302922.schule.bwl.de,0761 /70862-17
"Adolf-Reichwein-Schule Grundschule, Sonderpäd. Bild. und Beratungszentrum Emotionale u. soziale Entw.",Bugginger Str. 83 79114 Freiburg im Breisgau,poststelle@04145439.schule.bwl.de,0761/2017500
Akademie für Kommunikation Freiburg Priv. BK f. techn. Dokumentat. Grafik- und Produktdesign,Kaiser-Joseph-Str. 168 79098 Freiburg im Breisgau,poststelle@04315497.schule.bwl.de,0761/15648030
Albert-Schweitzer-Schule I Grundschule  ,Habichtweg 46 79110 Freiburg im Breisgau,poststelle@04145452.schule.bwl.de,0761/2017504
Albert-Schweitzer-Schule II Werkrealschule  ,Habichtweg 46 79110 Freiburg im Breisgau,poststelle@04145464.schule.bwl.de,0761/2017505
Albert-Schweitzer-Schule III Sonderpädagogisches Bildungs- und Beratungszentrum Förderschwerpunkt Lernen,Habichtweg 46 79110 Freiburg im Breisgau,poststelle@04108650.schule.bwl.de,0761 /201-7585
Angell Akademie Freiburg Berufliche Schulen  ,Kronenstr. 2-4 79100 Freiburg im Breisgau,poststelle@04316933.schule.bwl.de, 0761/70329-114
Anne-Frank-Schule Grundschule  ,Wilmersdorfer Str. 19 79110 Freiburg im Breisgau,poststelle@04145336.schule.bwl.de,0761/2017508
Berthold-Gymnasium   ,Hirzbergstr. 12 79102 Freiburg im Breisgau,poststelle@04105909.schule.bwl.de,0761/201-7631
Berufsfachschule für Kosmetik   ,Hartkirchweg 31 79111 Freiburg im Breisgau,,
Berufskolleg im Bildungswerk der Erzdiözese Freiburg  ,Hildastr. 39 79102 Freiburg im Breisgau,poststelle@04310049.schule.bwl.de,0761 /70862-16
"Carl-Mez-Schule Privates Sonderpädagogisches Bildungs- und Beratungszentrum am Heim, emot. u. soz. Entw.",Burgackerweg 12 79104 Freiburg im Breisgau,poststelle@04312484.schule.bwl.de,0761 / 504 30-31
Carlo Schmid Schule Freiburg IB Bildungszentrum  ,Straßburger Str. 3A 79110 Freiburg im Breisgau,poststelle@04315710.schule.bwl.de,0761 / 88 88 58 2 
Clara-Grunwald-Schule Grundschule  ,Johanna-Kohlund-Str. 3 79111 Freiburg im Breisgau,poststelle@04165323.schule.bwl.de,0761/2017452
DAA Altenpflege-Schule Freiburg der Deutschen Angestellten-Akademie ,Rieselfeldallee 31 79111 Freiburg im Breisgau,,0761 /42286
DanceEmotion Academy Freiburger Akademie für Tanz  ,Humboldtstr. 3 79098 Freiburg im Breisgau,,
Deutsch-Französ. Grundschule   ,Belchenstr. 2 79115 Freiburg im Breisgau,poststelle@04164987.schule.bwl.de,0761 /4762243
Deutsch-Französisches Gymnasium  ,Runzstr. 83 79102 Freiburg im Breisgau,poststelle@04105892.schule.bwl.de,0761 /201-7639
Diakonisches Bildungszentrum für Gesundheit und Pflege Evangelische Altenpflegeschule ,Schwarzwaldstr. 151 79102 Freiburg im Breisgau,,
Droste-Hülshoff-Gymnasium   ,Brucknerstr. 2 79104 Freiburg im Breisgau,poststelle@04105958.schule.bwl.de,0761 /201-7647
"Edith-Stein-Schule Schule für Agrarwirtschaft, Hauswirtschaft u. Sozialpflege ",Bissierstr. 17 79114 Freiburg im Breisgau,poststelle@04103032.schule.bwl.de,0761 /201-7766
Emil-Gött-Schule Grundschule  ,Kirchhofweg 9 79108 Freiburg im Breisgau,poststelle@04145348.schule.bwl.de,0761/201-7512
Emil-Thoma-Grundschule   ,Schützenallee 33 79102 Freiburg im Breisgau,poststelle@04145476.schule.bwl.de,0761 /2017516
Emil-Thoma-Realschule   ,Schützenallee 33 79102 Freiburg im Breisgau,poststelle@04119064.schule.bwl.de,0761/201-7604
Europa-Institut Wirtschaftsakademie Freiburg  ,Rehlingstr. 6 d-e 79100 Freiburg im Breisgau,,0761/38419850
Evangelische Fachschule für Sozialpädagogik  ,Mercystr. 23 79100 Freiburg im Breisgau,poststelle@04307129.schule.bwl.de,0761 /70439-0
Evangelisches Montessori Schulhaus Freiburg Gemeinschaftsschule ,Merzhauser Str. 136 79100 Freiburg im Breisgau,poststelle@04317573.schule.bwl.de,0761/59010810
Fachschule für Sozialpädagogik   ,Händelstr. 10 79104 Freiburg im Breisgau,poststelle@04304086.schule.bwl.de,0761/55924-0
Familienpflegeschule Kath. Berufsfachschule  ,Kartäuserstr. 43 79102 Freiburg im Breisgau,,0761 /38543-0
Feyel-Schule Grundschule  ,Unteres Grün 13 79117 Freiburg im Breisgau,poststelle@04145567.schule.bwl.de,0761 /64383
Freiburger Musical- und Schauspielschule  ,Ziegelhofstr. 200 79110 Freiburg im Breisgau,,
Freiburger Schauspielschule   ,Ferdinand-Weiß-Str. 6a 79106 Freiburg im Breisgau,,
"Freie Christliche Schule Grund-, Werkreal-, Realschule und Gymnasium ",Wirthstr. 30 79110 Freiburg im Breisgau,poststelle@04311625.schule.bwl.de,0761/8977711
Freie internationale musische Oberlin-Grundschule  ,Am Mühlbach 13/13a 79114 Freiburg im Breisgau,,0761/85648
Freie Schule Kapriole Grund- und Werkrealschule  ,Oberrieder Str. 20 79117 Freiburg im Breisgau,,
Freie Waldorfschule Freiburg-Rieselfeld  ,Ingeborg-Drewitz-Allee 1 79111 Freiburg im Breisgau,,0761/15146630
Freie Waldorfschule Freiburg-Wiehre  ,Schwimmbadstr. 29 79100 Freiburg im Breisgau,,0761 /791730
Freie Waldorfschule St.Georgen   ,Bergiselstr. 11 79111 Freiburg im Breisgau,,0761/896420-0
Friedrich-Gymnasium   ,Jacobistr. 22 79104 Freiburg im Breisgau,poststelle@04105910.schule.bwl.de,0761 /201-7660
Friedrich-Weinbrenner- Gewerbeschule  ,Bissierstr. 17 79114 Freiburg im Breisgau,poststelle@04102027.schule.bwl.de,0761 /201-7740
Gerhart-Hauptmann-Schule Grundschule  ,Hofackerstr. 75 79110 Freiburg im Breisgau,poststelle@04145555.schule.bwl.de,0761 /201-7520
Gertrud-Luckner-Gewerbeschule   ,Bissierstr. 17 79114 Freiburg im Breisgau,poststelle@04161652.schule.bwl.de,0761 /201-7852
Goethe-Gymnasium   ,Holzmarkt 5 79098 Freiburg im Breisgau,poststelle@04105922.schule.bwl.de,0761 /201-7668
Hansjakob-Realschule   ,Wannerstr. 2 79106 Freiburg im Breisgau,poststelle@04119076.schule.bwl.de,0761 /201-7605
Haus Tobias Privates Sonderpädagogisches Bildungs- und Beratungszentrum FSP geistige Entwicklung,Wintererstr. 83 79104 Freiburg im Breisgau,,0761 /37150
Hebelschule Grundschule  ,Engelbergerstr. 2 79106 Freiburg im Breisgau,poststelle@04145361.schule.bwl.de,0761/2017525
Hofacker-Schule Grundschule  ,Schulhalde 11 79112 Freiburg im Breisgau,poststelle@04145671.schule.bwl.de,07665/6576
Internationale Schule im Römerhof  ,Hansjakobstr. 99 79117 Freiburg im Breisgau,,0761 /611250
"Internationaler Bund IB Medizinische Akademie Schule für Gesundheit,Pflege und Arbeitserziehung Freiburg",Schönauer Str. 4 79115 Freiburg im Breisgau,poststelle@04315369.schule.bwl.de,0761/600740003
ISW Internationales Studienzentrum Wirtschaft ,Friedrichring 29 79098 Freiburg im Breisgau,,0761 /36753
Janusz-Korczak-Schule Privates Sonderpädagogisches Bildungs- und Beratungszentrum FSP geistige Entwicklung,Goethestr. 31 79100 Freiburg im Breisgau,,0761 /71591
Jazz und Rock Schule   ,Haslacher Str. 43 79115 Freiburg im Breisgau,,
Johannes-Schwartz-Schule Grundschule  ,Bundschuhstr. 20b 79110 Freiburg im Breisgau,poststelle@04145609.schule.bwl.de,0761 /82242
Karlschule Grund- und Werkrealschule  ,Karlstr. 16 79104 Freiburg im Breisgau,poststelle@04145385.schule.bwl.de,0761 /2017528
Karoline-Kaspar-Grundschule   ,Paula-Modersohn-Platz 1 79100 Freiburg im Breisgau,poststelle@04165980.schule.bwl.de,0761/201-7411
Kepler-Gymnasium   ,Johanna-Kohlund-Str. 5 79111 Freiburg im Breisgau,poststelle@04105934.schule.bwl.de,0761 /201-7676
